study,sample,year,process,split,tree_name,file_path,path_exists,selection,weight_expr,mass
new,mA_M5,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M5/run3.root,False,H_m>115 && H_m<135,factor,5
new,mA_M6,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M6/run3.root,False,H_m>115 && H_m<135,factor,6
new,mA_M6,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M6/run3.root,False,H_m>115 && H_m<135,factor,6
new,mA_M6,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M6/run3.root,False,H_m>115 && H_m<135,factor,6
new,mA_M7,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M7/run3.root,False,H_m>115 && H_m<135,factor,7
new,mA_M7,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M7/run3.root,False,H_m>115 && H_m<135,factor,7
new,mA_M7,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M7/run3.root,False,H_m>115 && H_m<135,factor,7
new,mA_M8,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M8/run3.root,False,H_m>115 && H_m<135,factor,8
new,mA_M8,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M8/run3.root,False,H_m>115 && H_m<135,factor,8
new,mA_M8,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M8/run3.root,False,H_m>115 && H_m<135,factor,8
new,mA_M9,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M9/run3.root,False,H_m>115 && H_m<135,factor,9
new,mA_M9,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M9/run3.root,False,H_m>115 && H_m<135,factor,9
new,mA_M9,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M9/run3.root,False,H_m>115 && H_m<135,factor,9
new,mA_M10,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M10/run3.root,False,H_m>115 && H_m<135,factor,10
new,mA_M10,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M10/run3.root,False,H_m>115 && H_m<135,factor,10
new,mA_M10,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M10/run3.root,False,H_m>115 && H_m<135,factor,10
new,mA_M15,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M15/run3.root,False,H_m>115 && H_m<135,factor,15
new,mA_M15,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M15/run3.root,False,H_m>115 && H_m<135,factor,15
new,mA_M15,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M15/run3.root,False,H_m>115 && H_m<135,factor,15
new,mA_M20,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M20/run3.root,False,H_m>115 && H_m<135,factor,20
new,mA_M20,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M20/run3.root,False,H_m>115 && H_m<135,factor,20
new,mA_M20,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M20/run3.root,False,H_m>115 && H_m<135,factor,20
new,mA_M25,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M25/run3.root,False,H_m>115 && H_m<135,factor,25
new,mA_M25,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M25/run3.root,False,H_m>115 && H_m<135,factor,25
new,mA_M25,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M25/run3.root,False,H_m>115 && H_m<135,factor,25
new,mA_M30,run3,signal,train_tree,train,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M30/run3.root,False,H_m>115 && H_m<135,factor,30
new,mA_M30,run3,signal,test_tree,test,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M30/run3.root,False,H_m>115 && H_m<135,factor,30
new,mA_M30,run3,signal,inclusive,inclusive,/eos/home-p/pelai/HZa/root_P2Root/run3_bdt_inputs_nominal/mA_M30/run3.root,False,H_m>115 && H_m<135,factor,30
